"name","st_x","st_y"
"中国邮政储蓄银行ATM(蒸兴路)","121.028373","30.974279"
"中国建设银行24小时自助银行(联泰路)","121.429328","31.346163"
"平安银行存取款机","121.415541","31.160169"
"中国农业银行24小时自助银行(春雨路)","121.243648","31.282482"
"中国邮政储蓄银行24自助银行服务","121.121196","31.149548"
"中国邮政储蓄银行(打浦桥营业所)","121.467155","31.206026"
"中国工商银行24小时自助银行(新金桥支行)","121.614545","31.254519"
"中国工商银行24小时自助银行(公兴桥支行)","121.468447","31.270861"
"中国工商银行24小时自助银行(平型关路支行)","121.464555","31.271817"
"中国工商银行24小时自助银行(同济大学支行)","121.51","31.2812"
"中国工商银行24小时自助银行(大连路支行)","121.506999","31.264048"
"中国工商银行24小时自助银行(上海分行黄浦广东路支行)","121.483229","31.232231"
"中国邮政储蓄银行24小时自助银行(广中路营业所)","121.47866","31.276068"
"中国建设银行(上海疏影路支行)","121.364444","31.119529"
"中国邮政储蓄银行(博兴路营业所)","121.593789","31.266364"
"中国邮政储蓄银行(娄塘支行)","121.21451","31.426315"
"中国邮政储蓄银行(嘉定区支行)","121.248444","31.381897"
"中国工商银行24小时自助银行(梅陇支行)","121.424193","31.122686"
"中国工商银行ATM(西体育会路)","121.482101","31.277932"
"中国工商银行24小时自助银行(天目东路支行)","121.479314","31.249799"
"中国工商银行24小时自助银行(共江路支行)","121.44553","31.327504"
"中国工商银行24小时自助银行","121.305019","30.730779"
"中国建设银行(上海双城路支行)","121.49557","31.391172"
"中国工商银行24小时自助银行(中路支行)","121.483963","31.239116"
"中国邮政储蓄银行24小时自助银行","121.50465","31.305374"
"中国邮政储蓄银行24小时自助银行(平顺路营业所)","121.453491","31.308194"
"中国邮政储蓄银行24小时自助银行","121.19185","30.786042"
"中国邮政储蓄银行(工农营业所)","121.541499","31.328225"
"中国邮政储蓄银行(颛建路营业所)","121.397486","31.069147"
"中国农业银行24小时自助银行(时运苑东)","121.556833","31.288351"
"中国农业银行ATM","121.883012","30.886966"
"中国农业银行24小时自助银行(控江路支行)","121.51298","31.274549"
"中国农业银行24小时自助银行(川沙支行营业部)","121.694372","31.177011"
"中国农业银行ATM(凤滨路)","121.675468","31.391946"
"中国邮政储蓄银行(朱行支局)","121.338122","30.847588"
"中国邮政储蓄银行(马陆支行)","121.283097","31.332572"
"中国工商银行24小时自助银行(丽园路支行)","121.473073","31.205958"
"中国工商银行24小时自助银行(天山西路支行)","121.3649","31.217629"
"中国邮政储蓄银行(沪闵路营业所)","121.425306","31.001157"
"中国工商银行24小时自助银行(真南支行)","121.37795","31.271019"
"中国工商银行24小时自助银行(奉贤出入境检验检疫局北)","121.433473","30.954371"
"中国工商银行24小时自助银行(愚园路)","121.424648","31.219073"
"中国工商银行ATM(香闵路)(暂停营业)","121.293365","30.990657"
"中国工商银行24小时自助银行(大渡河路支行)","121.396503","31.247294"
"中国工商银行24小时自助银行(西渡支行)","121.432782","30.989737"
"中国邮政储蓄银行24小时自助银行","121.432229","30.830923"
"兴业银行24小时自助银行(华山支行)","121.443926","31.196269"
"中国农业银行24小时自助银行(枣阳路)","121.404453","31.236836"
"中国邮政储蓄银行(园二路营业所)","121.634462","31.315983"
"星展银行(古北路支行)","121.393047","31.196608"
"中国农业银行24小时自助银行(上海环城支行)","121.120767","31.14667"
"中国工商银行24小时自助银行(练新路)","121.043736","31.009219"
"兴业银行资金营运中心","121.455378","31.230709"
"兴业银行企业年金中心","121.455378","31.230709"
"兴业银行上海授信审批中心","121.455378","31.230709"
"兴业银行零售银行管理总部","121.455361","31.230696"
"浙商银行(嘉定支行)","121.250911","31.394596"
"ICBC24h自助银行服务","121.523693","31.226192"
"中国工商银行24小时自助银行","121.46668","31.234961"
"中国工商银行(华漕支行)","121.290525","31.207694"
"上海农商银行ATM","121.351655","31.279136"
"中国银行换汇机(上海虹桥雅高美爵酒店)","121.39662","31.206279"
"兴业银行(上海长宁支行)","121.43885","31.214606"
"交通银行ATM","121.501547","31.175513"
"上海银行(平阳支行)","121.388887","31.130474"
"中国银行ATM","121.430799","31.234068"
"中国银行(九亭支行)","121.328418","31.144964"
"中国工商银行(虹桥机场支行)","121.348597","31.192523"
"中国建设银行(上海荣乐支行)(暂停营业)","121.226598","31.013763"
"中国工商银行(长寿路支行)","121.439871","31.24177"
"中国建设银行ATM(北新泾支行)","121.368225","31.217859"
"汇丰银行上海香港广场支行卓越理财中心","121.475227","31.222964"
"东亚银行ATM(香港广场)","121.47489","31.22313"
"中国银行(汉中路支行)","121.456921","31.24126"
"上海银行24小时自助银行(岚皋路支行)","121.423981","31.250409"
"上海银行ATM","121.236281","31.183649"
"中国银行ATM(长宁区妇幼保健院)","121.414839","31.213343"
"上海银行数据中心","121.671191","31.247347"
"中国建设银行ATM(汇智国际商业中心)","121.60134","31.203736"
"星展银行(陆家嘴环路支行)","121.503108","31.242262"
"中国银行(仙霞路支行)","121.385363","31.20706"
"中国银行ATM(浦东机场华美达大酒店)","121.799385","31.160531"
"交通银行24小时自助银行(孙桥路)","121.630561","31.182576"
"中国邮政储蓄银行(漕河泾支行)","121.409094","31.164024"
"中国邮政储蓄银行ATM","121.23604","30.82538"
"恒生银行ATM(中国)24小时自助银行(安福路支行)","121.445","31.214417"
"恒生银行(安福路支行)","121.444842","31.214431"
"上海银行ATM(滴水湖支行)","121.92633","30.901721"
"上海银行(滴水湖支行)","121.926333","30.901719"
"招商银行ATM(乐购三门路店)","121.49037","31.312454"
"中国光大银行24小时自助银行(花园社区支行)","121.540056","31.235098"
"中国光大银行(花园社区支行)","121.54007","31.235114"
"北京银行(上海嘉定支行)","121.253681","31.382921"
"中信银行24小时自助银行(上海科苑支行)(装修中)","121.588255","31.209098"
"上海农商银行(朱泾支行)","121.16826","30.886158"
"交通银行24小时自助银行","121.168765","30.885819"
"中国农业银行(上海联洋支行)","121.550856","31.223483"
"中国农业银行(老西门支行)","121.486136","31.217401"
"中信银行ATM(上海徐家汇支行)","121.439169","31.190689"
"中信银行(上海徐家汇支行)","121.439157","31.190685"
"上海银行24小时自助银行(金山支行营业部)","121.349398","30.729828"
"上海农商银行24小时自助银行","121.47071","31.259431"
"中国银行ATM(芷江中路)","121.47153","31.259465"
"中国农业银行(三墩支行)","121.757951","30.990779"
"上海农商银行(三墩支行)","121.758006","30.990698"
"兴业银行24小时自助银行(上海市南支行)","121.473742","31.2058"
"中国银行(洛川东路支行)","121.462744","31.270776"
"上海银行24小时自助银行(临空经济园区支行)","121.360701","31.218455"
"中国建设银行24小时自助银行(新德路支行)","121.687185","31.195465"
"中国民生银行24小时自助银行(上海新泾支行)","121.360763","31.220205"
"中国农业银行(提篮桥支行)","121.508869","31.253809"
"中国农业银行(三星支行)","121.286407","31.74042"
"上海银行(五角场支行)","121.518818","31.28841"
"上海农商银行(杨浦支行)","121.521242","31.286837"
"中国农业银行(国货路支行)","121.496145","31.208456"
"杭州银行(田林东路支行)","121.425491","31.172447"
"中国银行上海市淮海中路第二支行","121.474659","31.223564"
"上海银行(信息技术大厦支行)","121.518937","31.274528"
"中国农业银行(泥城支行)","121.82679","30.902811"
"交通银行24小时自助银行(五角场支行)","121.485297","31.248005"
"上海银行(松江支行)","121.230592","31.006578"
"上海农商银行(中山中路分理处)","121.231111","31.006559"
"中国农业银行(长江支行)","121.538295","31.67789"
"中国农业银行(九亭支行)","121.319634","31.129804"
"中国农业银行(中原支行)","121.540625","31.327997"
"中国农业银行(刘行分理处)","121.373067","31.357675"
"中国建设银行信用卡中心(源深路)","121.534341","31.233582"
"中国建设银行24小时自助银行(赵巷支行)","121.195643","31.148933"
"中国银行(桃浦支行)","121.350729","31.281937"
"中国银行24小时自助银行(桃浦支行)","121.350695","31.281894"
"中国农业银行(西渡支行)","121.443263","30.962601"
"上海农商银行金融便利店","121.529025","31.278986"
"渤海银行24小时自助银行","121.529667","31.279169"
"中国光大银行24小时自助银行(松江支行)","121.227731","31.011014"
"中国光大银行(松江支行)","121.227722","31.011034"
"兴业银行信用卡中心","121.58377","31.197453"
"中国农业银行(上海漕宝路支行)","121.347803","31.156873"
"招商银行24小时自助银行(上海七宝支行)","121.349691","31.156062"
"中国银行ATM(中房金谊广场)","121.513747","31.140294"
"中国农业银行(洲海路支行)","121.58874","31.311819"
"中国农业银行(上海纪王支行)","121.269292","31.243102"
"上海农商银行(周浦支行)","121.586677","31.115278"
"中国民生银行ATM","121.344362","30.725856"
"华夏银行24小时自助银行(上海嘉定支行)","121.246879","31.378699"
"上海农商银行(武威东路分理处)","121.402051","31.275955"
"中国银行24小时自助银行(交通大学支行)","121.431711","31.019036"
"中国农业银行(上海周东路支行)","121.582529","31.125793"
"中国民生银行ATM","121.579846","31.243862"
"中国建设银行(上海外冈支行)","121.175599","31.363276"
"中国农业银行24小时自助银行(张江路支行)","121.612991","31.205539"
"平安银行24小时自助银行(上海卢湾支行)","121.476277","31.198984"
"上海银行(福民支行)","121.469102","31.233728"
"中国建设银行24小时自助银行(大连路支行)","121.507575","31.264731"
"交通银行(上海真华路支行)","121.411489","31.273347"
"中国建设银行(上海栖山路支行)","121.56352","31.256785"
"中国建设银行24小时自助银行(康沈路支行)","121.576137","31.116585"
"中国农业银行ATM","121.263873","31.113645"
"中国建设银行24小时自助银行(上海锦秋路支行)","121.38922","31.321097"
"中国建设银行24小时自助银行(上海华和路支行)","121.40454","31.291108"
"中国建设银行(博成路支行)","121.486135","31.18376"
"中国邮政储蓄银行24小时自助银行(衡山路营业所)","121.444966","31.202375"
"交通银行24小时自助银行(嘉定支行)","121.248419","31.380866"
"中国农业银行(嘉定城中支行)","121.247125","31.382701"
"中国银行(陆家嘴软件园支行)","121.530281","31.217927"
"中国银行ATM","121.53235","31.217506"
"中国建设银行24小时自助银行(上海枫泾支行)","121.014481","30.89272"
"中国工商银行ATM(正大生活馆)","121.554067","31.23073"
"中国工商银行24小时自助银行(崇明支行)","121.396887","31.619168"
"中国银行24小时自助银行(静安新城支行)(装修中)","121.380728","31.165421"
"中国农业银行(静安新城分理处)","121.380378","31.164485"
"中国工商银行ATM(化工区支行)","121.465266","30.815431"
"中国工商银行24小时自助银行(周家嘴路支行)","121.492695","31.253276"
"中国建设银行24小时自助银行(复兴路支行)","121.482771","31.218596"
"中国建设银行(联民路支行)","121.27534","31.165627"
"中国建设银行24小时自助银行(上海联民路支行)","121.275292","31.165705"
"中国建设银行24小时自助银行(上海天钥桥路支行)","121.44196","31.19014"
"中国工商银行离行式自助服务区(上海分行地铁支行肇嘉浜路站)","121.45926","31.21511"
